"","modified_excerpt","dref_dimension"
"1175","It is recommended to train staff and volunteers on online based information management system such as Red Rose.","Operations Support"
"1176","It is sometimes a constraint to engage efficiently those untrained volunteers. An alternative plan for creating strong teams in emergency response operations might be considered for building a pool of community volunteers.","Operational Capacity"
"1177","It is strongly recommended that some amount of HTH chlorine be prepositioned as emergency stocks in
warehouses.","Analysis and Planning"
"1178","It is suggested by the staff and volunteers involved in the operation to develop influenza contingency plan and integrate it into MRCS contingency plan and mid-level branch contingency plans, so that MRCS is better prepared to respond to similar emergencies in the future.","Analysis and Planning"
"1179","It is suggested that VNRC needs to create a pool of trainers on cash transfer programming who comes from both HQs and local levels to limit dependency on just one or two staff at HQs level.","Operational Capacity"
"1180","It is suggested that VNRC should take into consideration using standard items for relief distribution so that it is easy to procure them locally. In this case, WPTs were supported either by IFRC or Partner National Societies in previous operations.","Operational Capacity"
"1181","It is therefore necessary to plan ongoing training on prevalent diseases or health risks in the region in 
 order to have trained volunteers in the event of an emergency.","Operations Support"
"1182","It is true that some people are used to taking canoes without protective vests, but this is a risk. A long term DRR project could help to strengthen the material capacities of this committee in this case, with the provision of lifejackets. The SN will also advocate for this with partners inside and outside the Movement, at the level of government authorities.","Operations Support, Analysis and Planning"
"1183","It is very important to involve logistics in planning since a large part of the budget is invested in this area; thus, logistics experts can calculate more accurately the values of unimodal or multimodal freight, which are necessary for the mobilization of relief items and personnel.","Operational Capacity"
"1184","It is very useful to build relationships with civil society organizations that work on protection issues, particularly sexual violence and gender-based violence prior to emergencies.","Coordination"
"1185","It is very useful to consider the participation of the local authorities in charge of emergency response in the workshop","Coordination"
"1186","It is vitally important that GRCS prepares the practical systems in place including what to do before, during the peaceful demonstrations and during the escalation of the process, in case it is needed to be deployed rapidly. Ensure that GRCS field teams support goes to everyone during the demonstrations and they stay neutral. From the very beginning of the action it is important to provide briefings on the safety and security for the staff and volunteers which are going to be involved in the demonstrations response and include Psycho-Social First Aid component in the briefing package.","Operations Support, Analysis and Planning"
"1187","It is worth mentioning again that the Kerala IRCS branch did not have much experience in disaster response. Because of this, the approach of community engagement and accountability, which includes a range on concepts and technics to ensure the communities are at the centre of our work, may not be fully integrated yet in some instances. This does not mean affected communities were not consulted or involved in the response process, but more efforts are needed to improve how assistance is being planned and delivered for future operation.","Policy Strategy and Standards"
"1188","It might be good for IFRC to conduct a review to understand why DRC RC finds it so difficult to implement operations when they are funded. Such a review might come up with recommendations and solutions.","Operations Support"
"1189","It took a few days to start the operation of the mobile water pumps in the field after the deployment of the mobile water pumps, since the operators had not received the technical training on maintenance and operation of the mobile water pumps.","Operational Capacity"
"1190","It took long time to obtain the final list of hospitals from the government where the WASH facilities were requied. SLRCS had to condcut sevel discussions with MOH, which delayed the implementation.","Coordination"
"1191","It took time for the National Society to prioritize the issue, but after IFRC support, it was possible to implement the tools and strategies needed to develop the approach.","Operational Capacity"
"1192","It took time to be able to use Sucumbíos board’s ambulance in the San Miguel National Border Assistance
Centre (CENAF) activities since certain legal requirements had to be fulfilled. The ERC was the only actor that
has this vehicle available to transport patients during the operation.","Policy Strategy and Standards"
"1193","It was a challenge to have a source of verification for the media guidelines and commitment to the dissemination of the materials produced, particularly their reinforcement during conflicts.","Operations Support"
"1194","It was a challenge to systematically apply PGI standards during the implementation of relief operations. PGI aspects have been included in the selection criteria of beneficiaries, however more effort needs to be exerted to achieve higher standard. In regard to equal opportunities for women and men staff and volunteers, was not achieved in the initial phase of the operation. However, during the later part, a good number of female volunteers were seen in action.","Policy Strategy and Standards"
"1195","It was agreed between RCST and CoES representative to involve REACT partners in lessons-learned workshops.","Coordination"
"1196","It was also highlighted that to resolve issues with lack of vehicles during response and delays in sourcing rental options there should be preferred supplier agreements in place at branch level prior to any response.","Operations Support"
"1197","It was also identified that more detailed SADD information needs to be collected during assessments and it is  recommended to amend assessment forms to ensure that detailed information is collected to ensure that the most vulnerable are prioritised for assistance.","Operational Capacity"
"1198","It was also necessary to identify the shopkeepers, check the shops and the availability of food in quantity and quality, meet with selected ones for information, and contracting.","Operations Support"
"1199","It was also recommended for use of consistent volunteer teams to conduct assessments and distribution to the same community, in order to be more efficient in use of time by knowing the location of properties and households to be assisted. Due to the lack of addresses to identify houses, it would be more efficient and effective for the same
volunteers to return to conduct distribution in an area they conducted assessments.","Operational Capacity"
"1200","It was challenging to get the health data in Kokofata and Sirakoro areas","Operational Capacity"
"1201","It was complicated for Headquarters to conduct response activities, as there is no Evacuation Plan for these situations","Analysis and Planning"
"1202","It was decided that ORP kit prepositioning would be worked on as it was not feasible to procure and implement within short timeframe of the DREF.","Operations Support"
"1203","It was difficult for IFRC to provide oversight of the response operation as no IFRC personnel were permitted to deploy to monitor and support activities in the field. Also, LRC HQ did not receive consistent and detailed information or reporting from Chapters, which further limited ability to provide suitable support with planning, problem solving and decision making to meet the needs in the affected areas.","Coordination, Policy Strategy and Standards, Operations Support"
"1204","It was difficult for the volunteers to convince the people to leave their house for evacuation which further delayed the evacuation process.","Operational Capacity"
"1205","It was difficult to distribute the food (and non-food items). The earthquake occurred in a mountainous area, which made access by vehicle challenging.","Analysis and Planning"
"1206","It was difficult to follow-up feedback from the Malaria activities and Malaria detection as the same volunteers were
also conducting door to door campaigns on hygiene prevention. (Health)","Operational Capacity"
"1207","It was difficult to maintain up-to-date lists of volunteers since these do their voluntary service in rotations. This made it difficult to keep updated lists for dissemination.","Operations Support"
"1208","It was difficult to move within the city due to roadblocks and the social unrest in the country.","Analysis and Planning"
"1209","It was difficult to obtain supporting documents from people, as they were not in a position to provide
documents at the initial time period.","Operational Capacity"
"1210","It was found that FRCS assessment forms need contextualised to ensure that there is an explanation on how to complete the form and use the damage classification ranking for different types of disasters, for example floods, cyclones and droughts. Refresher training also needs to be formalised and conducted on a regular basis in order to maintain the required level of understanding of how to complete all critical aspects of response operations.","Operational Capacity"
"1211","It was found that the Early Warning and Early Action trainings held in Yonggwang County in 2015 had been key to preparing the community for the disaster and for people to know what to do once they received the early warning messages. Although some people were injured during the floods, Early Warning and Early Action trainings protected lives and there were no casualties in the county","Operations Support"
"1212","It was found that there was insufficient of budget allocated to Gender & Diversity trainings or awareness or Minimum standards training which limit the activities that can be done","Operational Capacity"
"1213","It was good to have some sanitation kits pre-positioned at the NS’ central warehouse in Kinshasa, as this facilitated rapid intervention.","Operations Support"
"1214","It was hard to find a qualified external trainer to conduct the SDB trainings. Most IFRC profiles had been
deployed to support the operation in DRC. The trainings were conducted with support from MoH and RRCS
Head of Health who is trained in SDB.","Operations Support"
"1215","It was highlighted from this operation that there is a need for closer coordination between sections within FRCS National Office to ensure that the approach to disaster response operations is synchronized and has the required input from all relevant departments. When developing an emergency plan of action (EPoA) all key personnel and departments should provide input in order to make sure the plan will best meet the needs of the affected population","Coordination"
"1216","it was highlighted that during the summer months, prevention campaign should be conducted as soon as possible because incidence of casualty due to water accident was very high. It was stated that out of all the hazards, water incidents were reported to cause the highest number of casualties. DREF operation takes action when the flash floods occurred and assets and human lives are lost, mostly focusing on the response but it does not really allocate much focus in risk reduction regarding water incidents because it is not considered as an emergency.","Analysis and Planning"
"1217","It was highlighted through the operation that volunteers need to be provided training in basic logistics including stock control and also a volunteer focal point should be identified at each branch to be responsible for logistics. This would ensure stronger internal controls for use of PPE and stock management including accurate recording and reporting.","Operations Support"
"1218","It was identified that not all volunteers being used to conduct assessments had been ERT trained and therefore did not know how to complete the forms correctly. This was cause for a review of the use of initial damage assessment forms by ERT volunteers and staff.","Operations Support"
"1219","It was identified that the actions of Restoring Family Contacts should be strengthened in the departments of La Guajira, Vichada and Arauca following the experience in its implementation in the department of Norte de Santander.","Operational Capacity"
"1220","It was identified through the lesson learn workshop that capacity building atn HQ, provincial branch and
community level in - assessment training, EOC management, safe house management, and shelter training is
very important, and should be taken into consideration during the Preparedness Phase before any disaster
strikes.","Analysis and Planning"
"1221","It was important for the NS to deploy locally trained PSS volunteers in affected communities as this increases the level of confidence vis-à-vis the Red Cross, especially in these Muslim religion areas where the RC emblem can be easily misinterpreted.","Operations Support"
"1222","It was mentioned that the time allocated for the assessment and beneficiary registration is limited and the process requires more time","Operational Capacity"
"1223","It was necessary to make the distribution processes for sleeping kits more flexible in the bus terminals, taking into account the Humanitarian Assistance and Migrant Population approaches while providing clear guidelines and principles for the volunteers who are responsible for providing this humanitarian assistance. The crosscutting nature of these approaches has the goal of making the process of migrating to the country safer and more humane and recognizes human dignity as a fundamental element of migration. These approaches should be an inherent part of all institutional actions to provide assistance to the migrant population that is located in Colombian territory.","Policy Strategy and Standards"
"1224","It was noted that it is important that PSS activities begin to be rolled out as soon as possible after the declaration of an emergency.","Operational Capacity, Operations Support"
"1225","It was noted that MRCS need to include PFA actions in its coming operational plans to ensure that grief of the affected population is treated right away.","Operational Capacity"
"1226","It was noted that Red Cross branch staff need to improve their English language as RDRT members were unable to communicate with Red Cross staff directly due to language barriers.","Operations Support"
"1227","It was really challenging to distribute limited support in comparison to the huge number of affected people.","Operational Capacity"
"1228","It was recommended for the National Society to develop the dzud contingency plan to implement during the epidemic and develop contingency plans in cases of combined hazard and disasters","Analysis and Planning"
"1229","It was recommended to mid-level branches at the lessons learnt workshop that each mid-level branch should sign cooperation agreement with their local Khan banks on data sharing and validating to reduce cases of mismatches in further operations.","Operational Capacity"
"1230","It was reflected that 100 per cent of the trained volunteers found that the component of the -ECV training and teaching manual, handouts was easy to understand and efficient. The volunteers said that the training material could be modified depending on the audience and it was flexible to do so.","Operational Capacity"
"1231","It was relevant to involve community management committees in the implementation of activities such as targeting, of beneficiaries, coordination. It did encourage community empowerment and prepared them for the recovery phase.","Policy Strategy and Standards"
"1232","It was suggested to add more cable tied wire in the shelter tool kit and people require a proper machete.","Operational Capacity"
"1233","It was suggested to have two volunteers on standby when shipping of the NFIs (safety, security & company (PSS).","Operations Support"
"1234","It was suggested to review the dignity kits targeting policy, contents, procurement of reusable pads and options for prepositioning adequate stocks at VRCS.","Policy Strategy and Standards"
"1235","It was the first time BRC had used PUR sachets in emergency operations, so the training provided by IFRC to in turn provide training to communities was essential. Trainings were well received and useful for implementation.","Operational Capacity"
"1236","It was the first time the PSS mobile unit was deployed by the HRC and building capacity in practice was a main
challenge. The lack of volunteers for PSS activities for rapid deployment was not anticipated.","Operational Capacity"
"1237","It was very difficult to convince the local population that the mode of contamination of the virus is the consumption of non-potable water. Apart from the construction of water points, there was an urgent need of providing the affected population with Aquatab and PUR for water purification at home. The NRCS’ volunteers included water purification techniques in their sensitization messages, notably the technique of boiling water before drinking.","Policy Strategy and Standards, Coordination, Operational Capacity"
"1238","It will be essential for SLRCS to increase the awareness sessions in affected communities.","Operational Capacity"
"1239","It will be important to provide local committees with motorcycles to facilitate travel to remote locations with poor
road conditions.","Operations Support"
"1240","It will be very important to ensure all staff involved especially RDRT are fully bilingual for future operations in this part of the country, as the people to be supported are Anglophones and the language issue came out strongly as one of the determining factors leading to the present crisis.","Operational Capacity"
"1241","It would be good if the CCST Office can assist to organize the volunteer’s insurance.","Operational Capacity"
"1242","It would be good to provide DRC Red Cross headquarters with a motorized canoe for interventions in areas where access is only possible through the River Congo and many places in DRC are in a similar situation.","Analysis and Planning, Operations Support"
"1243","It would be prudent to understand the emergency situation and expedite procurement procedures of the NSs accordingly, to provide flexibility under emergency situations.","Operations Support"
"1244","It would be useful to have video files for archive purposes.","Operations Support"
"1245","It would have been good to hire a local photographer in the initial response before the communications delegate arrived in country to help collect high quality photos. It was great to be able to use the Tonga Red Cross Communications Manager as an official spokesperson for the first time.","Operations Support"
"1246","It would have been very positive to include water tanks. Many affected families asked for them.","Operational Capacity"
"1247","Keep on doing what has been done to date regarding delivery logistics","Operations Support"
"1248","Keeping a record of the people was complicated, as codes are not used in these contexts and information is handled confidentially. Furthermore, it was impossible to keep records because of the speed with which scenarios occurred or because the injured people themselves refused to provide their personal data for fear of reprisals it these were leaked.","Operational Capacity"
"1249","Keeping in view the local/current context and unforeseen situations, we also need to be flexible in terms of time allocation and/or extension of project.","Analysis and Planning, Operational Capacity"
"1250","Kemerovo branch of the Russian Red Cross initiated PSS support and set up system of psychosial interventions,
coordinated activities with mental health institutes to ensure effective refferal mechanisms","Coordination"
"1251","Kenani camp had limited space to construct more shelter due to increase in the number of refugees that were
coming into the camp. As such, only 100 out of the 210 shelters planned for vulnerable population in the camp
were constructed. (Shelter)","Operational Capacity"
"1252","Kerala state branch had limited capacity particularly in DM personnel to tackle such a huge disaster. However, operational targets were achieved because of deployment of technical support from NHQ, IFRC, ICRC and other state branches. But it took longer time for distribution that may have delayed the responses.","Operational Capacity"
"1253","Key problems that were discussed during the workshop included supervision of complicated cases of help to the affected people; helping the helpers and identifying experts for online consulting on complicated cases; prompt provision of methodological literature; development of a plan of activities, advice on setting up and managing self-help group work; content development of a booklet on PSS ‘You are not alone – how to help overcome grief’; group division into small parts according to age, severity of suffering and development of criteria; preparation of programmes and materials for seminars; assessment form development for the project monitoring. PSS supervision for the National Society staff and PSS workers is very important and has to be started in the initial phase of operation to provide systematic PSS advice and avoid professional burnout of the staff involved in the operation.","Operational Capacity"
"1254","Key RRCS staff (Finance, DM, IT) need to be trained on the cash transfer software by MTN to allow them to
manage the transfers internally and avoid the delays that were experienced","Operational Capacity"
"1255","Keys staffs deployed to the field to support assessment and distribution which causes lack of experienced staffs and volunteers to man the EOC’s.","Operational Capacity"
"1256","Kickstarting the implementation of the DREF took some time, as finance transfer issues delayed start-off.","Operational Capacity"
"1257","Krasnodar Krai RC branch developed the “Regulations on humanitarian aid distribution within DREF operations”. The Regulations include detailed description of each category of beneficiaries under the operation. This regulation proved to be very useful, since there was no other categorisation of the damages to refer to, so it became the basis of the distribution. The Regulations were approved by the RRCS HQ and the IFRC.","Operational Capacity"
"1258","KRCS ambulances placed on standby across the country enabled timely response and medical
evacuation of casualties injured in election related violence.","Operational Capacity"
"1259","Lack of access to all affected areas for analysing the real situation in the first days after the precipitation of snow.","Analysis and Planning"
"1260","Lack of anticipation of the number of refugees’ influx which was higher than expected.","Analysis and Planning"
"1261","Lack of awareness by some committee leaders of the principles guiding humanitarian action. The governance of the local committees should also be briefed on the DREF Procedures before the launch of activities. This is the case for assistance which cannot cover all the disaster-affected populations and only take into account the most essential needs.","Coordination, Operations Support, Policy Strategy and Standards"
"1262","Lack of capacities of the regular HRC suppliers has to be addressed. As discussed during LL workshop, HRC has to revise the emergency procurement procedure in order to make it more efficient. Procurement documents should be simplified. Trainings for local branch colleagues about disaster procurements could be organised, as well as preidentified local supplier lists should be developed. NHQ will identify possible procurement partners and put fast procurement options in place","Operations Support"
"1263","Lack of communication and adequate information about the process such as purchases and forms.","Operations Support"
"1264","Lack of Communication equipment’s in branches","Operational Capacity"
"1265","Lack of communication means (absence of mobile networks in some areas)","Operations Support"
"1266","Lack of communication tools to support virtual meeting and discussions with the IFRC, ICRC and other partners during the operation.","Operations Support"
"1267","Lack of community based capacity in epidemic control and response also impacted on the operation.","Policy Strategy and Standards"
"1268","Lack of community member to understand the importance of assessment and thus causing fault in assessment and thus confuse on site logistics team and distribution team.","Policy Strategy and Standards"
"1269","Lack of contingency stocks.","Operations Support"
"1270","Lack of coordination between different actors on site dealing with relief activities resulting in duplications and
double coverage.","Coordination"
"1271","Lack of coordination with local authorities which makes the process slower.","Coordination"
"1272","Lack of dedicated personnel to the EVD operation at HQ level versus number of task forces and subcommittee meetings held on a weekly base. URCS health director directly participated in NTF, while
various health personnel were assigned to take part in sub-committee meetings. This hindered sharing of
information and URCS strategic positioning in certain sub-committees.  (Health)","Operational Capacity"
"1273","Lack of disaster response training and knowledge among newly-recruited staff and volunteers","Operations Support"
"1274","Lack of effective communication between the logistics and relief team led to: Miscommunication of the arrival of nonfood items shipment especially during the second distribution; there were inconsistencies in the supply of the non-food items from POM warehouse resulting in the final supply received being less or more than what was enlisted in the Emergency Plan of Action","Operational Capacity"
"1275","Lack of effective partnership with the local stakeholders has been noted for improvement. Proper stakeholder mapping and partnership needs improvement to enable convenient mobilization of the limited resources to enhance effective coordination and response is also needed.","Operations Support"
"1276","Lack of emergency food and non-food item stocks meant CRCI was unable to respond promptly and on-time. In the future, CRCI should invest on emergency stocks so that when an emergency occurs, they can respond promptly.","Operations Support"
"1277","Lack of enough tools to reach all the affected communities in a short time, especially on mobile cinema
equipment’s because the areas affected some were too far to reach in their villages. (WASH)","Operational Capacity"
"1278","Lack of field based-Health officers in all districts of interventions which prevented the implementation of
recommendations made by technical personnel on field monitoring. (Health)","Operational Capacity"
"1279","Lack of IEC materials already developed and printed also caused delays in having the required information ready in order to be able to disseminate to the affected communities","Operations Support"
"1280","Lack of independent needs assessment data.","Operational Capacity"
"1281","Lack of IT equipment such as laptops and smart phones delayed reports and did not allow information such as graphs or tables to be shared in due course","Operations Support"
"1282","Lack of knowledge on the DREF tool and procedures.","Operational Capacity"
"1283","Lack of knowledge regarding Humanitarian Aid Standards (SPHERE)","Policy Strategy and Standards"
"1284","Lack of local capacity on mental health and PSS. As Kerch is small town, there were very few professional mental health institutions, most of them located in the centre of Crimea, in Simferopol city.","Operational Capacity"
"1285","Lack of logistics knowledge amongst volunteers in the branches made logistic activities more difficult to coordinate.","Operations Support"
"1286","Lack of prepositioned NFIs in the Country resulted in the delayed response as the NS awaited for NFIs procured
under this DREF for distribution instead of distributing from the NS stock so that the DREF items will just replenish.
The delayed distribution defeated the purpose of providing immediate shelter solution but fitted well under the recovery
component of the response. (Shelter)","Analysis and Planning"
"1287","Lack of resource mobilization strategy to ensure long term support to the EVD operation.  (Health)","Operations Support"
"1288","Lack of resources on the islands affected after cyclone to cater for the FRCS response teams transportation needs.","Operations Support"
"1289","Lack of sanitation infrastructures (latrines) in most of PoE.  (WASH)","Operational Capacity"
"1290","Lack of services and referral agencies on the ground to adequately and contextually deal with sexual and genderbased violence.","Policy Strategy and Standards"
"1291","Lack of supplies due to the COVID-19 context.","Analysis and Planning"
"1292","Lack of technical capacities from ZRCS in Community Engagement and Accountability and especially Community
feedback and complaints mechanisms.","Policy Strategy and Standards"
"1293","Lack of trained volunteers for emergency shelter installation.","Operational Capacity, Operations Support"
"1294","Lack of trainings in disaster preparedness and response in the field of all volunteers, as well as members of the branches.","Operations Support"
"1295","Lack of understanding of continuous PSS intervention to overcome sub-acute and long -term negative impact of the stress event to the mental condition of the people.","Operational Capacity"
"1296","Lack of understanding of the affected households at the temporary relocation sites as they were not among the targets for assistance from the DRC Red Cross because other partners were already assisting them so it was difficult for the Red Cross to implement WASH activities in these locations (schools, churches, displacement camp).","Operations Support, Policy Strategy and Standards"
"1297","Lack of up to date information sharing from the municipality on beneficiaries who needed assistance. HRC teams
had thus to double check the beneficiaries lists in order to avoid duplications.","Operational Capacity"
"1298","Lack of visibility items for Cuban Red Cross volunteers. (same for all sectors).","Operations Support"
"1299","lack of volunteers trained in need assessment.","Operational Capacity"
"1300","Lack of water tankers to transport clean water produced from the water treatment units to affected
populations in remote areas","Operational Capacity, Analysis and Planning"
"1301","Language barriers.","Analysis and Planning"
"1302","Last minute advised on changes of loading and departure.","Operations Support"
"1303","Late shipments and late distribution of tarpaulin to communities due to late shipments and rough seas making it impossible for banana boats to distribute the items on time.","Operations Support"
"1304","Late Shipments and late distribution of Tarpaulin to communities’ due to late shipments and rough seas making it impossible for banana boats to distribute the items on time.","Operations Support"
"1305","Latrine construction was delayed by the availability of construction materials and the distances from the local
markets. (WASH)","Operations Support"
"1306","Launch offers over time to save time and be within the time","Operations Support"
"1307","Launch tenders as soon as possible and implement field activities as planned and in accordance with the memorandum of understanding.","Operations Support"
"1308","Launch tenders as soon as possible and implement field activities as planned.","Operations Support"
"1309","Learning through practice, key to this approach, positions volunteers with skills and knowledge that can be adapted to the different vital needs related to health and healthy communities. Additionally, this approach recognizes the need to harmonize it with other community tools, as well as integrate the components of other relevant programs. There needs to be further training of volunteers in the ODK methodology.","Operations Support"
"1310","Lessons learned have been widely discussed during the LL workshop at the end of the operation. Agreements with municipalities should be formed in a written way in the future to ensure that the previously agreed implementation plan can take place. Contingency stocks should be developed by HRC, including stocks of cover sheets and fixing materials to provide immediate rooftop cover after disasters. Agreements with providers of rooftop materials should be initiated as a preparedness action before disasters, in order to make procurement processes quicker.","Coordination, Operations Support, Analysis and Planning"
"1311","Lessons learned was also to ensure availability of transportation and communication kits to remedy logistics setbacks.","Operational Capacity"
"1312","Limitations were encountered during the Lessons learned workshop such as language barrier and time constraints. Due to time constraints, the IFRC and MRCS focused on discussing and agreeing on recommendations for the key issues and areas for improvement. While the areas which went well were validated by the participants, it is still important to continue the dialogue on those as there might be more specific recommendations to add on them.","Operations Support"
"1313","Limited access to some villages (e.g. Non-Government Controlled Areas) in Mon and Kayin states was another challenge. Through rigorous coordination with both the State Governments and Non-State actors, the MRCS was able to distribute cash in these areas.","Coordination, Analysis and Planning"
"1314","Limited and no communication coverage at operation sites caused delay in sharing of validated information and data.","Operations Support"
"1315","Limited and or no telephone coverage in some of the sites","Operations Support"
"1316","Limited banana boats and transport in Torres","Operations Support"
"1317","Limited capacity of the volunteers. Lack of resources including funding are real setbacks for the PNGRCS/Vanimo Interim Branch in responding to the local epidemics. More capacity building for the local volunteers in health-related awareness is required.","Operations Support"
"1318","Limited CCCDC capacities and skills in few villages which hinders effective coordination.","Operational Capacity"
"1319","Limited didactic resources.","Operational Capacity"
"1320","Limited experience on population movement response activities","Analysis and Planning, Operational Capacity"
"1321","Limited means of transportation due to the local situation challenged MRCS staff and volunteers to visit hardto-reach areas. It could be improved through mobilisation of resources including for MRCS fleet, pre-agreements with transportation vessels/vehicles (e.g. boats and cars) before the onset of disasters and regular mapping of transportation options with stakeholders and partners","Operations Support"
"1322","Limited number of ambulances vs number districts of intervention which led to delays in transportation of
suspected cases. Ex only 3 ambulances available out of the 7 districts of intervention. (Health)","Operational Capacity"
"1323","Limited number of infra-red thermometers. (Health)","Operational Capacity"
"1324","Limited number of volunteers deployed to comprehensively cover all communities in the targeted districts.
The intervention therefore focused in sub-counties bordering directly DRC only.  (Health)","Operational Capacity"
"1325","Limited resources available to the IRCS Kerala branch prior to the disaster meant a significant scale-up was needed to reach the operational capacity level to implement the response. In August 2018, the branch had almost no trained volunteers available, only had one vehicle (an ambulance) to transport people and a limited number of staffs at headquarter. The branch also lacked the experience, primarily in disaster management, to handle such a large disaster. This resulted in difficulties in many operational aspects, from planning to coordination and data collection. Surge support was dispatched from NHQ, other branches and internationally to reinforce Kerala branch’s capacity, but the limited resources remained an issue throughout the operation","Operational Capacity"
"1326","Limited time was allocated to conduct field visit to Sichuan province for post disaster monitoring and video
documentation. This somehow restricted the amount of information and data collected.","Operations Support"
"1327","Limited trained staff and volunteers to timely engage in the response operations, such as data collection and reporting.","Operational Capacity"
"1328","Limited trained volunteers WASH expertise made early response more focused on relief assessment and distribution of NFIs.","Operational Capacity"
"1329","Little participation of refugees in hygiene promotion activities as the refugees wanted ZRCS volunteers to be
cleaning their toilets. (WASH)","Policy Strategy and Standards"
"1330","LNRCS’s decentralized structure and grassroots volunteer base helped to coordinate access and information flow in the absence of staff on the ground.","Operational Capacity"
"1331","Local elections in one of the targeted provinces (Uttar Pradesh) delayed distributions. According to model code of conduct issued by the Election Commission, relief distributions could not be carried out over a period of one month during the elections","Analysis and Planning"
"1332","Local funding strategies should be created to provide continuity to the services","Operations Support"
"1333","Local knowledge is a significant factor in all phases of the response","Policy Strategy and Standards"
"1334","Local level procurement should be adopted for cost saving, improved post installation services and strengthening of local markets, whilst ensuring quality, and a thorough market analysis. Local level procurement not only contributes to the economic activity of the district, but also removes the chances of delays/interruptions in the delivery since time is of essence during an emergency.","Operations Support"
"1335","Local procurement procedures have been challenged due the fact that regular HRC suppliers were not able to participate in the tendering process due to the lack of logistics to transport the goods to the site in the required number and time. HRC identified a supplier for the food parcels, which supplied food packages for national governmental aid programs (EU FEAD standardized parcels)","Coordination, Operations Support"
"1336","Local procurement was delayed due to a lack of available stock in country","Operations Support"
"1337","Local vendor operating in the islands did not have sufficient supplies.","Operations Support"
"1338","Logistical challenges especially with regards to suppliers, time planning, and sufficient budget should be considered for future operations.","Operations Support"
"1339","Logistically, it is difficult to receive field financial acquittals in a timely manner which delaying financial processes","Operations Support"
"1340","Logistics and protocol constraints affected NS leaders as demonstrations on the use of Aquatabs were done simultaneously with distributions and not during a specific session as originally planned. Whoever was in charge of the delivery of the Aquatabs for the demonstration sessions was also more involved in the protocol preparation. The Aquatabs for the demonstrations arrived on the ground at the time when the other items were to be distributed.","Operations Support, Policy Strategy and Standards"
"1341","Logistics and timely planning are critical to any operation.","Operations Support"
"1342","Logistics capacity was strengthened at the NS and its branch in Santa Cruz in terms of acquisitions with the supplier inventory. In the future, this will streamline purchase of emergency items related to water, sanitation and hygiene promotion.","Operational Capacity, Operations Support"
"1343","Logistics cost is high, especially for land transport and sea transport.","Operations Support"
"1344","Logistics experts can also adjust the work schedule by taking into consideration the duration of the purchase and transport processes that are executed in these types of projects.","Operations Support"
"1345","long distance between the centres and targeted areas.","Analysis and Planning"
"1346","Long distance from distribution to storage site. In addition, the road use is to narrow which only fit one truck causing traffic congestion at times and longer time taken for transportation.","Analysis and Planning"
"1347","Long distances between regional centres and target settlements.","Analysis and Planning"
"1348","Long Lasting Insecticide Treated Nets (LLINs), were not available, the NS operational team therefore opted
to distribute insecticide-treated nets (ITNs), whose insecticidal effect fades after six months of use.","Operational Capacity"
"1349","Long meetings in National Cluster meetings – counter-productive","Coordination"
"1350","Long process of procurement.","Operations Support"
"1351","Long term agreement with vehicle rental agencies and who understand that there may be delays in getting access will be put in place.","Operations Support"
"1352","LRC does not maintain a roster of volunteers for disaster response at chapter level","Operational Capacity"
"1353","LRC found the short timeframe for implementation of the DREF operation challenging. IFRC funding has some limitations that are not aligned with LRC regulations and capacities, both IFRC and LRC are working towards resolving these for future collaborations. It is also recognized that trainings on partners’ rules and regulations should be incorporated to facilitate better financial management in future.","Operational Capacity"
"1354","LRC has limited volunteers that are trained and ready to deploy to support disaster response. Most activities are undertaken by staff from either HQ or Chapter. There is mostly use of “ad hoc” volunteers at community level to provide support in their area, which means they have no training or need to be trained to conduct activities. This slows down response time and limits the capacity to support affected communities on a larger scale in multiple areas at once.","Operational Capacity"
"1355","LRC have identified it as a priority to continue to train chapter staff and also to engage and train volunteers at chapter level to be able to conduct awareness activities such as PGI, ECV and hygiene promotion","Operations Support"
"1356","LRC needs to develop a full portfolio of SOPs to cover all requirements of disaster response.","Analysis and Planning"
"1357","LRC needs to improve its ability to deploy teams from unaffected chapters to increase support to most affected and where there is the greatest need.","Operations Support, Operational Capacity"
"1358","LRC operates with semi-autonomous chapters that also report directly to provincial government. This causes issues with accountability and responsibility as well as ability to provide support, decisions and resources to chapters. It also means there is fragmented information sharing and communication between LRC HQ and chapters.","Operational Capacity"
"1359","LRC relies on deploying personnel from HQ to support Chapters during disaster response, which limits capacity to 
implement response activities. In this case the EA operation was paused for one month in order for available LRC 
capacity to be focussed on the DREF operation.","Operations Support, Operational Capacity, Analysis and Planning"
"1360","LRC requires significant support from IFRC to improve the capacity of finance and logistics procedures and management at HQ and chapters. There need to be SOPs developed and trained at HQ and chapters, in order to ensure compliance with IFRC finance and logistics guidelines and requirements.","Analysis and Planning, Operational Capacity, Operations Support"
"1361","LRC should communicate and inform to Lao Government the reasons and usefulness of having IFRC fully engaged 
as a partner for disaster response.","Coordination"
"1362","LRC would benefit from further support from IFRC to strengthen logistics, procurement and finance management systems, guidelines and SOPs. Further and ongoing support through Red Ready and Preparedness for Effective Response (PER) would be very useful.","Operations Support, Analysis and Planning"
"1363","Main challenge was regarding the risks related to the distribution of cash in envelops. After the risk assessment conducted internally by the ARCS DM department, it was decided to involve a third party (Armenian Business Bank) and run all distribution via local bank branches in Shirak Province.","Operational Capacity"
